experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	train	test	chat	eventType
mp-game-6	pilot	1680-141bf46f-a5ac-4022-9e41-36037bcaddee	1561742213436	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	-1	19.454	18.206	logTimes
mp-game-6	pilot	1680-141bf46f-a5ac-4022-9e41-36037bcaddee	1561742229718	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	73.73	13.546	18.52	logTimes
mp-game-6	pilot	1680-141bf46f-a5ac-4022-9e41-36037bcaddee	1561744809366	explorer	40	"trees with (purple trunks or white leaves) and orange berries"	trees_purple_trunks_or_white_leaves_orange_berries	1	2458.345	47.537	45.656	logTimes
mp-game-6	pilot	1680-141bf46f-a5ac-4022-9e41-36037bcaddee	1561744844595	student	40	"trees with (purple trunks or white leaves) and orange berries"	trees_purple_trunks_or_white_leaves_orange_berries	1	-1	84.849	34.884	logTimes
mp-game-6	pilot	1680-141bf46f-a5ac-4022-9e41-36037bcaddee	1561745266502	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	2	162.54	36.949	29.097	logTimes
mp-game-6	pilot	1680-141bf46f-a5ac-4022-9e41-36037bcaddee	1561745308882	student	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	2	-1	81.342	25.214	logTimes
mp-game-6	pilot	1680-141bf46f-a5ac-4022-9e41-36037bcaddee	1561745611429	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	3	-1	29.947	17.124	logTimes
mp-game-6	pilot	1680-141bf46f-a5ac-4022-9e41-36037bcaddee	1561745626089	explorer	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	3	86.612	12.718	20.744	logTimes
mp-game-6	pilot	1680-141bf46f-a5ac-4022-9e41-36037bcaddee	1561745750056	student	0	"flowers with orange stems"	flowers_orange_stems	4	-1	23.663	18.533	logTimes
mp-game-6	pilot	1680-141bf46f-a5ac-4022-9e41-36037bcaddee	1561745772738	explorer	0	"flowers with orange stems"	flowers_orange_stems	4	53.111	20.611	18.837	logTimes
