round_num	role	type	config	duration	experimentName	iterationName	gameid	logTime	eventType
0	student	beakerquestion	100	0.865	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257081	logTimes
0	student	beakerquestion	101	0.502	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257086	logTimes
0	student	beakerquestion	110	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257087	logTimes
0	student	beakerquestion	111	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257088	logTimes
0	student	beakerquestion	001	0.083	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257089	logTimes
0	student	beakerquestion	010	0.083	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257090	logTimes
0	student	beakerquestion	011	0.081	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257092	logTimes
0	student	reactionquestion	110	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257094	logTimes
0	student	reactionquestion	111	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257095	logTimes
0	student	reactionquestion	000	0.083	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257096	logTimes
0	student	reactionquestion	011	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257097	logTimes
0	student	reactionquestion	1xx	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257098	logTimes
0	student	reactionquestion	x0x	0.084	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257099	logTimes
0	student	reactionquestion	x1x	0.083	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257100	logTimes
0	student	reactionquestion	xx1	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257102	logTimes
0	student	reactionquestion	01x	0.08	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257103	logTimes
0	student	reactionquestion	00x	0.084	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257104	logTimes
0	student	reactionquestion	x01	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257105	logTimes
0	student	reactionquestion	x00	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993257106	logTimes
0	explorer	beakerquestion	100	0.656	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260860	logTimes
0	explorer	beakerquestion	101	0.498	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260863	logTimes
0	explorer	beakerquestion	110	0.084	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260864	logTimes
0	explorer	beakerquestion	111	0.083	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260865	logTimes
0	explorer	beakerquestion	001	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260866	logTimes
0	explorer	beakerquestion	010	0.08	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260868	logTimes
0	explorer	beakerquestion	011	0.083	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260869	logTimes
0	explorer	reactionquestion	110	0.081	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260870	logTimes
0	explorer	reactionquestion	111	0.081	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260872	logTimes
0	explorer	reactionquestion	000	0.083	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260875	logTimes
0	explorer	reactionquestion	011	0.08	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260877	logTimes
0	explorer	reactionquestion	1xx	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260879	logTimes
0	explorer	reactionquestion	x0x	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260880	logTimes
0	explorer	reactionquestion	x1x	0.081	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260881	logTimes
0	explorer	reactionquestion	xx1	0.084	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260883	logTimes
0	explorer	reactionquestion	01x	0.083	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260884	logTimes
0	explorer	reactionquestion	00x	0.083	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260885	logTimes
0	explorer	reactionquestion	x01	0.081	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260887	logTimes
0	explorer	reactionquestion	x00	0.082	mp-game-6	pilot	6383-cd1df338-fdad-4915-910e-ad4a580c96c7	1563993260888	logTimes
