round_num	role	type	config	duration	experimentName	iterationName	gameid	logTime	eventType
0	student	beakerquestion	100	0.681	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492585	logTimes
0	student	beakerquestion	101	0.499	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492603	logTimes
0	student	beakerquestion	110	0.083	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492604	logTimes
0	student	beakerquestion	111	0.082	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492606	logTimes
0	student	beakerquestion	001	0.082	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492607	logTimes
0	student	beakerquestion	010	0.082	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492608	logTimes
0	student	beakerquestion	011	0.083	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492609	logTimes
0	student	reactionquestion	101	0.082	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492611	logTimes
0	student	reactionquestion	111	0.083	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492612	logTimes
0	student	reactionquestion	010	0.084	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492613	logTimes
0	student	reactionquestion	000	0.083	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492616	logTimes
0	student	reactionquestion	0xx	0.083	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492618	logTimes
0	student	reactionquestion	1xx	0.082	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492620	logTimes
0	student	reactionquestion	x1x	0.084	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492623	logTimes
0	student	reactionquestion	xx1	0.08	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492627	logTimes
0	student	reactionquestion	x01	0.082	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492629	logTimes
0	student	reactionquestion	01x	0.08	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492631	logTimes
0	student	reactionquestion	x00	0.082	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492633	logTimes
0	student	reactionquestion	0x0	0.079	mp-game-6	pilot	2044-4a67fee3-a994-4d23-81ea-95acaecc89b4	1563993492635	logTimes
