round_num	role	type	config	duration	experimentName	iterationName	gameid	logTime	eventType
0	student	beakerquestion	100	1.001	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698416	logTimes
0	student	beakerquestion	101	0.497	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698430	logTimes
0	student	beakerquestion	110	0.083	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698432	logTimes
0	student	beakerquestion	111	0.083	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698433	logTimes
0	student	beakerquestion	001	0.083	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698435	logTimes
0	student	beakerquestion	010	0.084	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698436	logTimes
0	student	beakerquestion	011	0.084	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698437	logTimes
0	student	reactionquestion	101	0.08	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698439	logTimes
0	student	reactionquestion	000	0.083	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698440	logTimes
0	student	reactionquestion	001	0.082	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698442	logTimes
0	student	reactionquestion	010	0.081	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698445	logTimes
0	student	reactionquestion	0xx	0.082	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698447	logTimes
0	student	reactionquestion	1xx	0.083	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698450	logTimes
0	student	reactionquestion	x1x	0.081	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698453	logTimes
0	student	reactionquestion	xx1	0.08	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698455	logTimes
0	student	reactionquestion	11x	0.082	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698456	logTimes
0	student	reactionquestion	00x	0.081	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698458	logTimes
0	student	reactionquestion	0x0	0.082	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698459	logTimes
0	student	reactionquestion	x11	0.083	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993698462	logTimes
0	explorer	beakerquestion	100	0.633	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710330	logTimes
0	explorer	beakerquestion	101	0.502	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710334	logTimes
0	explorer	beakerquestion	110	0.082	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710335	logTimes
0	explorer	beakerquestion	111	0.082	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710337	logTimes
0	explorer	beakerquestion	001	0.08	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710338	logTimes
0	explorer	beakerquestion	010	0.083	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710340	logTimes
0	explorer	beakerquestion	011	0.083	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710341	logTimes
0	explorer	reactionquestion	101	0.081	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710344	logTimes
0	explorer	reactionquestion	000	0.081	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710345	logTimes
0	explorer	reactionquestion	001	0.083	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710346	logTimes
0	explorer	reactionquestion	010	0.083	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710348	logTimes
0	explorer	reactionquestion	0xx	0.084	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710349	logTimes
0	explorer	reactionquestion	1xx	0.082	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710350	logTimes
0	explorer	reactionquestion	x1x	0.082	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710351	logTimes
0	explorer	reactionquestion	xx1	0.083	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710352	logTimes
0	explorer	reactionquestion	11x	0.082	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710353	logTimes
0	explorer	reactionquestion	00x	0.08	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710354	logTimes
0	explorer	reactionquestion	0x0	0.082	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710355	logTimes
0	explorer	reactionquestion	x11	0.082	mp-game-6	pilot	7319-fdbd029b-11e8-4a93-9121-0b8daf846f38	1563993710357	logTimes
