type	config	duration	experimentName	iterationName	gameid	time	role	round_num	eventType
beakerquestion	100	3.204	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660519	student	0	logTimes
beakerquestion	101	0.5	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660536	student	0	logTimes
beakerquestion	110	0.082	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660538	student	0	logTimes
beakerquestion	111	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660539	student	0	logTimes
beakerquestion	001	0.082	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660540	student	0	logTimes
beakerquestion	010	0.084	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660542	student	0	logTimes
beakerquestion	011	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660544	student	0	logTimes
reactionquestion	110	0.087	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660546	student	0	logTimes
reactionquestion	111	0.08	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660547	student	0	logTimes
reactionquestion	000	0.079	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660549	student	0	logTimes
reactionquestion	001	0.081	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660552	student	0	logTimes
reactionquestion	0xx	0.082	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660555	student	0	logTimes
reactionquestion	1xx	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660560	student	0	logTimes
reactionquestion	x1x	0.084	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660564	student	0	logTimes
reactionquestion	xx1	0.082	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660568	student	0	logTimes
reactionquestion	x01	0.082	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660571	student	0	logTimes
reactionquestion	0x1	0.082	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660573	student	0	logTimes
reactionquestion	1x1	0.082	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660576	student	0	logTimes
reactionquestion	x11	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991660577	student	0	logTimes
beakerquestion	100	0.805	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665086	explorer	0	logTimes
beakerquestion	101	0.499	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665089	explorer	0	logTimes
beakerquestion	110	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665091	explorer	0	logTimes
beakerquestion	111	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665094	explorer	0	logTimes
beakerquestion	001	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665096	explorer	0	logTimes
beakerquestion	010	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665097	explorer	0	logTimes
beakerquestion	011	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665098	explorer	0	logTimes
reactionquestion	110	0.082	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665099	explorer	0	logTimes
reactionquestion	111	0.081	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665101	explorer	0	logTimes
reactionquestion	000	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665103	explorer	0	logTimes
reactionquestion	001	0.082	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665104	explorer	0	logTimes
reactionquestion	0xx	0.084	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665105	explorer	0	logTimes
reactionquestion	1xx	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665106	explorer	0	logTimes
reactionquestion	x1x	0.082	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665111	explorer	0	logTimes
reactionquestion	xx1	0.084	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665112	explorer	0	logTimes
reactionquestion	x01	0.081	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665114	explorer	0	logTimes
reactionquestion	0x1	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665116	explorer	0	logTimes
reactionquestion	1x1	0.083	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665119	explorer	0	logTimes
reactionquestion	x11	0.082	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665124	explorer	0	logTimes
test	111	0.453	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665126	explorer	0	logTimes
test	010	1.137	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665133	explorer	0	logTimes
test	001	0.362	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665134	explorer	0	logTimes
test	100	0.428	mp-game-6	pilot	2166-196860db-e393-432b-9d46-751102811f74	1563991665136	explorer	0	logTimes
