round_num	role	type	config	duration	experimentName	iterationName	gameid	logTime	eventType
0	student	beakerquestion	100	0.879	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702822	logTimes
0	student	beakerquestion	101	0.496	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702839	logTimes
0	student	beakerquestion	110	0.083	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702842	logTimes
0	student	beakerquestion	111	0.082	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702843	logTimes
0	student	beakerquestion	001	0.083	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702845	logTimes
0	student	beakerquestion	010	0.084	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702846	logTimes
0	student	beakerquestion	011	0.083	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702848	logTimes
0	student	reactionquestion	111	0.078	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702850	logTimes
0	student	reactionquestion	000	0.085	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702851	logTimes
0	student	reactionquestion	1xx	0.081	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702852	logTimes
0	student	reactionquestion	x1x	0.08	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702853	logTimes
0	student	reactionquestion	xx0	0.082	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702855	logTimes
0	student	reactionquestion	xx1	0.079	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702857	logTimes
0	student	reactionquestion	1x1	0.083	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702858	logTimes
0	student	reactionquestion	0x0	0.08	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702859	logTimes
0	student	reactionquestion	x00	0.083	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702861	logTimes
0	student	reactionquestion	01x	0.081	mp-game-6	pilot	4684-2e773bcd-8b79-4ca3-9c35-878d4db5ec42	1564001702862	logTimes
