round_num	role	type	config	duration	experimentName	iterationName	gameid	logTime	eventType
0	student	beakerquestion	100	8.296	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429046	logCompleteTimes
0	student	beakerquestion	101	15.296	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429050	logCompleteTimes
0	student	beakerquestion	110	62.286	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429052	logCompleteTimes
0	student	beakerquestion	111	4.143	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429053	logCompleteTimes
0	student	beakerquestion	001	0.27	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429054	logCompleteTimes
0	student	beakerquestion	010	0.498	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429055	logCompleteTimes
0	student	beakerquestion	011	0.084	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429056	logCompleteTimes
0	student	reactionquestion	110	0.081	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429057	logCompleteTimes
0	student	reactionquestion	001	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429058	logCompleteTimes
0	student	reactionquestion	000	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429061	logCompleteTimes
0	student	reactionquestion	010	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429063	logCompleteTimes
0	student	reactionquestion	1xx	0.081	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429065	logCompleteTimes
0	student	reactionquestion	x0x	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429066	logCompleteTimes
0	student	reactionquestion	x1x	0.084	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429067	logCompleteTimes
0	student	reactionquestion	xx1	0.081	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429068	logCompleteTimes
0	student	reactionquestion	10x	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429069	logCompleteTimes
0	student	reactionquestion	0x1	0.079	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429071	logCompleteTimes
0	student	reactionquestion	x11	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429072	logCompleteTimes
0	student	reactionquestion	x00	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008429074	logCompleteTimes
0	explorer	beakerquestion	100	0.696	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434164	logCompleteTimes
0	explorer	beakerquestion	101	0.499	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434170	logCompleteTimes
0	explorer	beakerquestion	110	0.079	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434172	logCompleteTimes
0	explorer	beakerquestion	111	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434173	logCompleteTimes
0	explorer	beakerquestion	001	0.081	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434175	logCompleteTimes
0	explorer	beakerquestion	010	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434176	logCompleteTimes
0	explorer	beakerquestion	011	0.084	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434177	logCompleteTimes
0	explorer	reactionquestion	110	0.084	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434178	logCompleteTimes
0	explorer	reactionquestion	001	0.08	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434179	logCompleteTimes
0	explorer	reactionquestion	000	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434180	logCompleteTimes
0	explorer	reactionquestion	010	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434183	logCompleteTimes
0	explorer	reactionquestion	1xx	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434184	logCompleteTimes
0	explorer	reactionquestion	x0x	0.079	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434186	logCompleteTimes
0	explorer	reactionquestion	x1x	0.08	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434187	logCompleteTimes
0	explorer	reactionquestion	xx1	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434189	logCompleteTimes
0	explorer	reactionquestion	10x	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434197	logCompleteTimes
0	explorer	reactionquestion	0x1	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434198	logCompleteTimes
0	explorer	reactionquestion	x11	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434200	logCompleteTimes
0	explorer	reactionquestion	x00	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434201	logCompleteTimes
0	explorer	test	111	3.025	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434203	logCompleteTimes
0	explorer	test	001	0.725	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434205	logCompleteTimes
0	explorer	test	010	0.709	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434209	logCompleteTimes
0	explorer	test	100	1.224	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434210	logCompleteTimes
0	explorer	test	110	8.667	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434213	logCompleteTimes
0	explorer	test	101	1.065	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434214	logCompleteTimes
0	explorer	test	100	1.669	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434216	logCompleteTimes
0	explorer	test	010	4.749	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434217	logCompleteTimes
0	explorer	test	100	2.061	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434219	logCompleteTimes
0	explorer	test	110	1.588	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434221	logCompleteTimes
0	explorer	test	001	0.499	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434222	logCompleteTimes
0	explorer	test	110	22.626	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434224	logCompleteTimes
0	explorer	test	100	0.515	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434225	logCompleteTimes
0	explorer	test	101	0.558	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434227	logCompleteTimes
0	explorer	test	110	0.805	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434228	logCompleteTimes
0	explorer	test	110	8.089	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434229	logCompleteTimes
0	explorer	test	010	NaN	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008434230	logCompleteTimes
1	student	beakerquestion	100	8.069	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739034	logCompleteTimes
1	student	beakerquestion	101	5.534	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739040	logCompleteTimes
1	student	beakerquestion	110	6.323	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739041	logCompleteTimes
1	student	beakerquestion	111	6.121	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739043	logCompleteTimes
1	student	beakerquestion	001	11.548	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739044	logCompleteTimes
1	student	beakerquestion	010	3.23	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739046	logCompleteTimes
1	student	beakerquestion	011	4.736	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739047	logCompleteTimes
1	student	reactionquestion	100	6.558	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739047	logCompleteTimes
1	student	reactionquestion	101	11.485	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739049	logCompleteTimes
1	student	reactionquestion	011	11.641	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739050	logCompleteTimes
1	student	reactionquestion	000	17.715	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739051	logCompleteTimes
1	student	reactionquestion	1xx	2.893	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739052	logCompleteTimes
1	student	reactionquestion	x1x	4.166	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739053	logCompleteTimes
1	student	reactionquestion	xx0	4.672	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739054	logCompleteTimes
1	student	reactionquestion	xx1	2.729	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739056	logCompleteTimes
1	student	reactionquestion	x11	7.457	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739058	logCompleteTimes
1	student	reactionquestion	11x	7.72	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739061	logCompleteTimes
1	student	reactionquestion	0x0	50.08	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739063	logCompleteTimes
1	student	reactionquestion	10x	4.827	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008739065	logCompleteTimes
1	explorer	beakerquestion	100	0.998	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745179	logCompleteTimes
1	explorer	beakerquestion	101	0.501	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745184	logCompleteTimes
1	explorer	beakerquestion	110	0.084	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745185	logCompleteTimes
1	explorer	beakerquestion	111	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745186	logCompleteTimes
1	explorer	beakerquestion	001	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745188	logCompleteTimes
1	explorer	beakerquestion	010	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745189	logCompleteTimes
1	explorer	beakerquestion	011	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745190	logCompleteTimes
1	explorer	reactionquestion	100	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745191	logCompleteTimes
1	explorer	reactionquestion	101	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745192	logCompleteTimes
1	explorer	reactionquestion	011	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745193	logCompleteTimes
1	explorer	reactionquestion	000	0.081	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745196	logCompleteTimes
1	explorer	reactionquestion	1xx	0.081	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745197	logCompleteTimes
1	explorer	reactionquestion	x1x	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745198	logCompleteTimes
1	explorer	reactionquestion	xx0	0.082	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745199	logCompleteTimes
1	explorer	reactionquestion	xx1	0.081	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745200	logCompleteTimes
1	explorer	reactionquestion	x11	0.083	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745201	logCompleteTimes
1	explorer	reactionquestion	11x	0.349	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745202	logCompleteTimes
1	explorer	reactionquestion	0x0	0.142	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745203	logCompleteTimes
1	explorer	reactionquestion	10x	0.123	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745204	logCompleteTimes
1	explorer	test	111	1.162	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745204	logCompleteTimes
1	explorer	test	100	1.386	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745205	logCompleteTimes
1	explorer	test	010	0.508	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745207	logCompleteTimes
1	explorer	test	001	0.678	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745208	logCompleteTimes
1	explorer	test	110	0.557	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745210	logCompleteTimes
1	explorer	test	101	0.597	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745211	logCompleteTimes
1	explorer	test	110	0.612	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745212	logCompleteTimes
1	explorer	test	011	2.757	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745213	logCompleteTimes
1	explorer	test	010	0.532	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745214	logCompleteTimes
1	explorer	test	001	0.7	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745214	logCompleteTimes
1	explorer	test	101	0.773	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745215	logCompleteTimes
1	explorer	test	011	0.951	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745217	logCompleteTimes
1	explorer	test	010	0.523	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745218	logCompleteTimes
1	explorer	test	011	1.225	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745219	logCompleteTimes
1	explorer	test	110	1.016	mp-game-6	pilot	6615-e15a8ddc-e58a-4cdb-84c7-d2dad7919b4a	1564008745220	logCompleteTimes
