round_num	role	type	config	duration	experimentName	iterationName	gameid	logTime	eventType
0	student	beakerquestion	100	0.959	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972622	logCompleteTimes
0	student	beakerquestion	101	0.501	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972625	logCompleteTimes
0	student	beakerquestion	110	0.081	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972626	logCompleteTimes
0	student	beakerquestion	111	0.083	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972627	logCompleteTimes
0	student	beakerquestion	001	0.08	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972629	logCompleteTimes
0	student	beakerquestion	010	0.082	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972629	logCompleteTimes
0	student	beakerquestion	011	0.08	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972630	logCompleteTimes
0	student	reactionquestion	110	0.081	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972631	logCompleteTimes
0	student	reactionquestion	111	0.082	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972632	logCompleteTimes
0	student	reactionquestion	000	0.079	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972633	logCompleteTimes
0	student	reactionquestion	001	0.084	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972634	logCompleteTimes
0	student	reactionquestion	0xx	0.079	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972637	logCompleteTimes
0	student	reactionquestion	1xx	0.083	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972639	logCompleteTimes
0	student	reactionquestion	x1x	0.081	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972641	logCompleteTimes
0	student	reactionquestion	xx1	0.082	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972642	logCompleteTimes
0	student	reactionquestion	x10	0.083	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972644	logCompleteTimes
0	student	reactionquestion	x11	0.082	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972645	logCompleteTimes
0	student	reactionquestion	10x	0.083	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972647	logCompleteTimes
0	student	reactionquestion	0x1	0.086	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972648	logCompleteTimes
0	explorer	beakerquestion	100	1.761	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008979357	logCompleteTimes
0	explorer	beakerquestion	101	0.893	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008979360	logCompleteTimes
0	explorer	beakerquestion	110	0.5	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008979361	logCompleteTimes
0	explorer	beakerquestion	111	0.084	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008979362	logCompleteTimes
0	explorer	beakerquestion	001	0.085	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008979363	logCompleteTimes
0	explorer	beakerquestion	010	0.08	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008979364	logCompleteTimes
0	explorer	beakerquestion	011	0.082	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008979365	logCompleteTimes
0	explorer	reactionquestion	110	0.081	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008979368	logCompleteTimes
0	explorer	reactionquestion	111	0.085	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008979371	logCompleteTimes
0	explorer	reactionquestion	000	0.082	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008979373	logCompleteTimes
0	explorer	reactionquestion	001	0.081	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008979374	logCompleteTimes
