round_num	role	type	config	duration	experimentName	iterationName	gameid	logTime	eventType
0	student	beakerquestion	100	2.835	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962589	logCompleteTimes
0	student	beakerquestion	101	2.422	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962595	logCompleteTimes
0	student	beakerquestion	110	0.357	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962596	logCompleteTimes
0	student	beakerquestion	111	0.288	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962597	logCompleteTimes
0	student	beakerquestion	001	0.376	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962599	logCompleteTimes
0	student	beakerquestion	010	0.282	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962600	logCompleteTimes
0	student	beakerquestion	011	0.151	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962602	logCompleteTimes
0	student	reactionquestion	100	1.103	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962605	logCompleteTimes
0	student	reactionquestion	111	0.15	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962606	logCompleteTimes
0	student	reactionquestion	011	0.271	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962607	logCompleteTimes
0	student	reactionquestion	000	0.142	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962608	logCompleteTimes
0	student	reactionquestion	1xx	0.24	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962610	logCompleteTimes
0	student	reactionquestion	x1x	0.78	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962611	logCompleteTimes
0	student	reactionquestion	xx0	0.127	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962613	logCompleteTimes
0	student	reactionquestion	xx1	0.569	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962614	logCompleteTimes
0	student	reactionquestion	10x	0.126	mp-game-6	pilot	6215-263e6dcf-5603-4bca-be28-0688796e51bd	1564010962616	logCompleteTimes
