round_num	role	type	config	duration	experimentName	iterationName	gameid	logTime	eventType
0	student	beakerquestion	111		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920444	logCompleteTimes
0	student	reactionquestion	01x		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920450	logCompleteTimes
0	student	reactionquestion	xx1		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920451	logCompleteTimes
0	student	beakerquestion	110		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920452	logCompleteTimes
0	student	reactionquestion	1xx		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920453	logCompleteTimes
0	student	beakerquestion	001		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920453	logCompleteTimes
0	student	beakerquestion	100		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920454	logCompleteTimes
0	student	reactionquestion	x0x		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920455	logCompleteTimes
0	student	reactionquestion	x11		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920456	logCompleteTimes
0	student	beakerquestion	011		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920457	logCompleteTimes
0	student	reactionquestion	000		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920457	logCompleteTimes
0	student	reactionquestion	00x		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920457	logCompleteTimes
0	student	reactionquestion	110		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920458	logCompleteTimes
0	student	beakerquestion	101		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920458	logCompleteTimes
0	student	reactionquestion	x1x		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920459	logCompleteTimes
0	student	reactionquestion	1x0		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920459	logCompleteTimes
0	student	beakerquestion	010		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920459	logCompleteTimes
0	student	reactionquestion	001		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920460	logCompleteTimes
0	student	reactionquestion	111	0.077	mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611920460	logCompleteTimes
0	explorer	beakerquestion	111		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928875	logCompleteTimes
0	explorer	reactionquestion	01x		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928878	logCompleteTimes
0	explorer	reactionquestion	xx1		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928878	logCompleteTimes
0	explorer	beakerquestion	110		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928879	logCompleteTimes
0	explorer	reactionquestion	1xx		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928879	logCompleteTimes
0	explorer	beakerquestion	001		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928880	logCompleteTimes
0	explorer	beakerquestion	100		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928881	logCompleteTimes
0	explorer	reactionquestion	x0x		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928881	logCompleteTimes
0	explorer	reactionquestion	x11		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928882	logCompleteTimes
0	explorer	beakerquestion	011		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928883	logCompleteTimes
0	explorer	reactionquestion	000		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928884	logCompleteTimes
0	explorer	reactionquestion	00x		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928885	logCompleteTimes
0	explorer	reactionquestion	110		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928885	logCompleteTimes
0	explorer	beakerquestion	101		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928886	logCompleteTimes
0	explorer	reactionquestion	x1x		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928886	logCompleteTimes
0	explorer	reactionquestion	1x0		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928887	logCompleteTimes
0	explorer	beakerquestion	010		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928887	logCompleteTimes
0	explorer	reactionquestion	001		mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928888	logCompleteTimes
0	explorer	reactionquestion	111	0.084	mp-game-6	pilot	5546-d0513bcd-28b1-4752-9229-89ebb362b591	1564611928888	logCompleteTimes
