experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	hits	misses	correct_rejections	false_alarms	score	eventType
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599520	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	1	9	37	3	0	logScores
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605897	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	2	8	38	2	0	logScores
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685097	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1	0	6	43	1	0	logScores
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681689661	explorer	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1	0	6	43	1	0	logScores
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681747476	student	40	"trees with (purple trunks or white leaves) and orange berries"	trees_purple_trunks_or_white_leaves_orange_berries	2	0	6	40	4	0	logScores
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681752632	explorer	40	"trees with (purple trunks or white leaves) and orange berries"	trees_purple_trunks_or_white_leaves_orange_berries	2	0	6	41	3	0	logScores
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681898737	student	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	3	5	42	3	0	5	logScores
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681903737	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	3	3	44	3	0	3	logScores
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681965232	explorer	0	"flowers with orange stems"	flowers_orange_stems	4	1	21	27	1	0	logScores
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681967989	student	0	"flowers with orange stems"	flowers_orange_stems	4	1	21	27	1	0	logScores
