round_num	role	Total Train Time	Total Test Time	chat	experimentName	iterationName	gameid	logTime	eventType
0	student	-1	2.885	1.253	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008972649	logSimpleTimes
0	explorer	2.032	4.495	4.572	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564008979385	logSimpleTimes
1	student	-1	2.597	3.316	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564009020213	logSimpleTimes
1	explorer	2.215	2.486	3.625	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564009024229	logSimpleTimes
2	student	-1	3.127	2.501	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564009064757	logSimpleTimes
2	explorer	1.449	3.631	2.811	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564009070199	logSimpleTimes
3	student	-1	2.538	1.94	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564009085660	logSimpleTimes
3	explorer	0.953	4.682	2.248	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564009091845	logSimpleTimes
4	student	-1	2.596	1.54	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564009108721	logSimpleTimes
4	explorer	0.998	2.77	1.847	mp-game-6	pilot	7016-21ff11c9-38e6-43e8-8cbc-440c7fb2c6b9	1564009113177	logSimpleTimes
