stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
te crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
1	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
2	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
3	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
4	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
5	true	false	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
6	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
7	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
8	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
9	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
10	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
11	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
12	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
13	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
14	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
15	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599464	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
