experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	train	test	chat	eventType
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681599451	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	47.501	6.414	19.568	logTimes
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605855	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	-1	14.533	19.257	logTimes
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685044	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1	-1	2.985	3.784	logTimes
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681689618	explorer	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1	41.679	2.996	6.376	logTimes
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681747413	student	40	"trees with (purple trunks or white leaves) and orange berries"	trees_purple_trunks_or_white_leaves_orange_berries	2	-1	7.327	3.633	logTimes
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681752575	explorer	40	"trees with (purple trunks or white leaves) and orange berries"	trees_purple_trunks_or_white_leaves_orange_berries	2	36.244	3.7	3.941	logTimes
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681898681	student	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	3	-1	4.579	4.647	logTimes
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681903682	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	3	28.524	3.726	8.803	logTimes
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681965180	explorer	0	"flowers with orange stems"	flowers_orange_stems	4	30.744	4.811	2.799	logTimes
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681967943	student	0	"flowers with orange stems"	flowers_orange_stems	4	-1	10.327	2.49	logTimes
